地址,家戶內泥沙淤積程度現況（公分）,屋內大型廢棄家具是否已移除,是否進入一般清潔階段,需求參考的分級與顏色,最後更新日期,最後更新時間
光復鄉中正路一段146號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段154號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段156號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段158號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段186號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段204號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路10號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路14號,0,否,是,6級,2025/9/29,12:00
光復鄉林森路16號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路18號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路22號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路26號,0,否,是,6級,2025/9/29,12:00
光復鄉林森路32號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路32-1號,0,是,是,6級,2025/9/29,12:00
光復鄉林森路36號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段272號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段342號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段291號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段257號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路80巷3號,0,否,是,6級,2025/9/29,12:00
光復鄉自強路80巷1號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路86號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路98號,0,是,是,6級,2025/9/29,12:00
光復鄉自強路98-1號,0,是,是,6級,2025/9/29,12:00
光復鄉學士街100號,0,是,是,6級,2025/9/29,12:00
光復鄉學士街98號,0,是,是,6級,2025/9/29,12:00
光復鄉自強街63號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街42號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街30號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街19號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街17號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街13號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街11號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街9號,0,是,是,6級,2025/9/29,12:00
光復鄉佛祖街112號,0,是,是,6級,2025/9/29,12:00
光復鄉佛祖街106號,0,是,是,6級,2025/9/29,12:00
光復鄉佛祖街75號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街68號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街70號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街72號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街74號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街76號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街78號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街87號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街96號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街93號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街95號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街100號,0,是,是,6級,2025/9/29,12:00
光復鄉延平街,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街103號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街105號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街107號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街106號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街108號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街111號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街113號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街115號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街119號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街121號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街124號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街126號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街125號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街130號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街132號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街131號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街136號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街138號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街140號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街133-1號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街150號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街160號,0,無法判斷,是,無法判斷,2025/9/29,12:00
光復鄉武昌街124號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街173號,0,是,是,6級,2025/9/29,12:00
光復鄉武昌街172號,0,是,是,6級,2025/9/29,12:00
光復鄉中正路一段30號,0,是,是,6級,2025/9/29,12:00
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
,,,,6級,,
